date,noise_fraction,noise_percent,step,n_components,explained_variance,n_states,current_state,strategy_1_return,strategy_2_return,buy_hold_return,strategy_1_directional_accuracy,strategy_2_directional_accuracy
2015-01-16 00:00:00,0.3,30,4,7,0.7245367581209718,2,1,-0.0009346299447749212,-0.00043834456396161446,0.0027205890305413457,0.5,0.5
2015-01-23 00:00:00,0.3,30,5,7,0.724094734946626,2,0,-0.00017074787236492995,-0.00026291673427762284,-0.0003088735444899666,0.4166666666666667,0.4583333333333333
2015-01-30 00:00:00,0.3,30,6,7,0.7236836142699351,2,0,0.013673309956241886,0.009301045157427287,-0.005922784139975146,0.7083333333333334,0.625
2015-02-06 00:00:00,0.3,30,7,7,0.7249586117322668,3,2,0.0015368543782558516,-0.008851636283789982,-0.0023008160498137423,0.4583333333333333,0.25
2015-02-13 00:00:00,0.3,30,8,7,0.723931416380728,2,1,0.00865378747107507,0.005014230046650323,-0.001771146641179531,0.625,0.5
2015-02-20 00:00:00,0.3,30,9,7,0.7250004818946697,2,1,0.0022663692808093626,0.002564066095642589,0.00021049556191723127,0.6666666666666666,0.625
2015-02-27 00:00:00,0.3,30,10,7,0.7235509810321958,2,0,0.006126932419244671,0.003804133066629157,-0.002502315009777748,0.5833333333333334,0.625
2015-03-06 00:00:00,0.3,30,11,7,0.7250077903333707,2,0,-0.006595223863607555,-0.009914672165781476,-0.007229983542105234,0.2916666666666667,0.16666666666666666
2015-03-13 00:00:00,0.3,30,12,7,0.7251529508620389,2,0,0.012480230769334326,0.007009402407523395,-0.0011339046980012434,0.7916666666666666,0.6666666666666666
2015-03-20 00:00:00,0.3,30,13,7,0.7260067295606182,3,1,-0.00023380045804715114,-0.004744906031980255,0.0027595947341163053,0.5833333333333334,0.25
2015-03-27 00:00:00,0.3,30,14,7,0.7256246011809433,2,0,-0.0012259952849565448,-0.0016496259639217897,-0.000356245961922188,0.4583333333333333,0.4166666666666667
2015-04-03 00:00:00,0.3,30,15,7,0.7244693632664645,2,0,0.00408684580244681,0.0036670932860851605,-0.001889285822972448,0.6666666666666666,0.6666666666666666
2015-04-10 00:00:00,0.3,30,16,7,0.7229570853488745,2,0,0.0037380000708303785,0.005762423850916025,-0.0004140141304587104,0.5416666666666666,0.7083333333333334
2015-04-17 00:00:00,0.3,30,17,7,0.7234654907159392,2,0,0.008041525830024184,0.00793599441768175,-0.004364197268200892,0.75,0.7083333333333334
2015-04-24 00:00:00,0.3,30,18,7,0.722415396484917,2,1,-0.005932181814546941,-0.009570667385294976,0.0010301797375144837,0.375,0.25
2015-05-01 00:00:00,0.3,30,19,7,0.722473426500817,2,1,-0.0004097311086240305,-0.0005590090975824544,-0.003358817961637974,0.5416666666666666,0.5416666666666666
2015-05-08 00:00:00,0.3,30,20,7,0.7223282603661058,2,1,0.006906497622575951,0.007525750755564147,-0.00280106867943867,0.6666666666666666,0.7083333333333334
2014-12-26 00:00:00,0.15,15,1,12,0.8586730331006317,3,1,-0.00020358780914170112,-0.0025269475680876736,0.0023977599635869825,0.5416666666666666,0.4166666666666667
2015-01-02 00:00:00,0.15,15,2,12,0.8585760787695567,2,1,-0.014532048870394332,-0.014517315607852696,0.0037128072456499746,0.20833333333333334,0.25
2015-01-09 00:00:00,0.15,15,3,12,0.8585812481654511,2,1,-0.011605591695881975,-0.010800765805688976,-0.005403340994766668,0.16666666666666666,0.25
2015-01-16 00:00:00,0.15,15,4,12,0.8589450366265922,2,0,-0.002630170413594178,0.00029449142390882343,0.0027205890305413457,0.4166666666666667,0.4583333333333333
2015-01-23 00:00:00,0.15,15,5,12,0.8585975709379974,2,0,-0.002183495767874782,-0.0005228807292945353,-0.0003088735444899666,0.3333333333333333,0.5
2015-01-30 00:00:00,0.15,15,6,12,0.8583287229321989,2,0,0.012692149323955687,0.012116686780984771,-0.005922784139975146,0.7083333333333334,0.6666666666666666
2015-02-06 00:00:00,0.15,15,7,12,0.8590552721351233,2,1,0.004177095497202083,-0.0032579177192447652,-0.0023008160498137423,0.5833333333333334,0.3333333333333333
2015-02-13 00:00:00,0.15,15,8,12,0.858470350709198,2,1,0.009312355987533143,0.0027436745701517385,-0.001771146641179531,0.6666666666666666,0.5
2015-02-20 00:00:00,0.15,15,9,12,0.8586612332813591,2,1,0.004214034520870665,0.0018792721115981333,0.00021049556191723127,0.7083333333333334,0.5833333333333334
2015-02-27 00:00:00,0.15,15,10,12,0.8575498458888171,2,0,0.005392453079758889,-0.0016569060507174637,-0.002502315009777748,0.5833333333333334,0.5
2015-03-06 00:00:00,0.15,15,11,12,0.8584986880452098,2,0,-0.005237651619327038,-0.006146805701138555,-0.007229983542105234,0.3333333333333333,0.25
2015-03-13 00:00:00,0.15,15,12,12,0.8585424038418799,2,1,-0.004653546018296515,-0.0044999553721809535,-0.0011339046980012434,0.4583333333333333,0.5
2015-03-20 00:00:00,0.15,15,13,12,0.8589251950958653,2,0,-0.0006171241711426559,-0.0033607575714841333,0.0027595947341163053,0.5833333333333334,0.375
2015-03-27 00:00:00,0.15,15,14,12,0.8590348770129088,2,1,0.0011515114147527478,0.0026275777715551924,-0.000356245961922188,0.4583333333333333,0.5416666666666666
2015-04-03 00:00:00,0.15,15,15,12,0.8578464252537193,2,0,0.0034762333962913283,0.0022512333742928698,-0.001889285822972448,0.625,0.625
2015-04-10 00:00:00,0.15,15,16,12,0.856087589385104,2,0,0.0031325623992465045,0.0015614781389021377,-0.0004140141304587104,0.5416666666666666,0.5416666666666666
2015-04-17 00:00:00,0.15,15,17,12,0.8560917439709856,2,1,0.009317007942545044,0.00983457463538232,-0.004364197268200892,0.75,0.6666666666666666
2015-04-24 00:00:00,0.15,15,18,12,0.8555269640101756,2,1,-0.006084224677816319,-0.009532230144932386,0.0010301797375144837,0.3333333333333333,0.25
2015-05-01 00:00:00,0.15,15,19,12,0.8558384682070626,2,1,-0.0008807148212605689,-0.0012851272587348884,-0.003358817961637974,0.5,0.4583333333333333
2015-05-08 00:00:00,0.15,15,20,12,0.8558355321078461,2,1,0.005416429430330092,0.00504949858389437,-0.00280106867943867,0.5833333333333334,0.6666666666666666
2014-12-26 00:00:00,0.1,10,1,15,0.9132548690012035,4,3,-0.002907034933551216,-0.005561580715628717,0.0023977599635869825,0.4166666666666667,0.2916666666666667
2015-01-02 00:00:00,0.1,10,2,15,0.9127481633751611,2,1,-0.012708788904319928,-0.014609967672262221,0.0037128072456499746,0.25,0.20833333333333334
2015-01-09 00:00:00,0.1,10,3,15,0.9128652996907066,2,0,0.00941119989577057,0.013959569391709227,-0.005403340994766668,0.5833333333333334,0.75
2015-01-16 00:00:00,0.1,10,4,15,0.9131492948618994,2,0,-0.0032361431523595355,-0.0024120840849585095,0.0027205890305413457,0.3333333333333333,0.375
2015-01-23 00:00:00,0.1,10,5,15,0.9129737061796752,2,0,-0.0019937868998487606,-0.0010680267246064269,-0.0003088735444899666,0.375,0.4166666666666667
2015-01-30 00:00:00,0.1,10,6,15,0.9129874632587233,2,0,0.011439287543030273,0.012156388488240522,-0.005922784139975146,0.6666666666666666,0.6666666666666666
2015-02-06 00:00:00,0.1,10,7,15,0.9130470188219649,3,2,0.004935138294250742,-0.0032117984427415367,-0.0023008160498137423,0.5416666666666666,0.375
2015-02-13 00:00:00,0.1,10,8,15,0.9126927608201936,2,1,0.006665067932211673,0.0012698016786009524,-0.001771146641179531,0.7083333333333334,0.4166666666666667
2015-02-20 00:00:00,0.1,10,9,15,0.9128323884310903,2,0,-0.003979576724314582,-0.0023103812126284867,0.00021049556191723127,0.4166666666666667,0.5
2015-02-27 00:00:00,0.1,10,10,15,0.9127831853731868,2,1,0.010870574379132093,-0.006046693386478304,-0.002502315009777748,0.6666666666666666,0.375
2015-03-06 00:00:00,0.1,10,11,15,0.9132367597464809,2,0,-0.002016085710993923,-0.006708210917411197,-0.007229983542105234,0.4166666666666667,0.25
2015-03-13 00:00:00,0.1,10,12,15,0.9133351860071042,2,0,0.010638128940017227,0.012668790838244556,-0.0011339046980012434,0.75,0.875
2015-03-20 00:00:00,0.1,10,13,15,0.9136187377320654,3,2,-0.0009995556604233573,0.004945160626908195,0.0027595947341163053,0.6666666666666666,0.6666666666666666
2015-03-27 00:00:00,0.1,10,14,15,0.9140026989754807,2,1,0.00017297805350494308,0.0013595015347536291,-0.000356245961922188,0.4166666666666667,0.5
2015-04-03 00:00:00,0.1,10,15,15,0.9128338620255647,2,0,0.0025232985755271465,0.0025587935421371687,-0.001889285822972448,0.5833333333333334,0.625
2015-04-10 00:00:00,0.1,10,16,15,0.9117870296076889,2,0,0.0031325623992465045,0.0015614781389021377,-0.0004140141304587104,0.5416666666666666,0.5416666666666666
2015-04-17 00:00:00,0.1,10,17,15,0.9118926504034781,3,2,0.009285202479082322,0.0012528689266142453,-0.004364197268200892,0.75,0.5
2015-04-24 00:00:00,0.1,10,18,15,0.9118130973024305,2,1,-0.0038190756306837833,-0.008059089709917568,0.0010301797375144837,0.375,0.2916666666666667
2015-05-01 00:00:00,0.1,10,19,15,0.9118408317143014,2,0,-0.0009472726764238921,9.782032295822893e-05,-0.003358817961637974,0.5,0.4583333333333333
2015-05-08 00:00:00,0.1,10,20,15,0.9115090377977028,2,1,0.005416429430330092,0.006018638339789024,-0.00280106867943867,0.5833333333333334,0.6666666666666666
